Date,Temperature,Wind Speed,Cloud Cover,Precipitation
2013-05-01,5.9,2.9,0.0,0.0
2013-05-02,8.3,4.0,0.4125,0.0
2013-05-03,9.8,2.9,0.0,0.0
2013-05-04,12.9,4.1,0.0875,0.0
2013-05-05,12.0,3.0,0.2875,0.0
2013-05-06,13.1,2.5,0.0625,0.0
2013-05-07,13.7,3.6,0.35,6.8
2013-05-08,15.7,2.7,0.6875,8.1
2013-05-09,14.5,3.3,0.8,0.1
2013-05-10,12.6,3.5,0.7,0.0
2013-05-11,12.3,3.1,0.825,0.7
2013-05-12,10.2,3.5,0.6625,0.0
2013-05-13,9.8,3.5,0.9125,4.8
2013-05-14,10.5,3.0,0.85,0.1
2013-05-15,15.4,3.2,0.75,18.6
2013-05-16,14.3,4.0,0.55,0.0
2013-05-17,18.6,3.3,0.425,0.3
2013-05-18,13.3,3.9,0.925,2.8
2013-05-19,12.0,2.4,0.9875,0.6
2013-05-20,14.2,1.8,0.975,2.5
2013-05-21,12.4,3.4,0.95,61.6
2013-05-22,8.7,7.6,0.85,13.1
2013-05-23,8.1,2.8,0.6875,1.1
2013-05-24,10.4,2.9,0.65,0.8
2013-05-25,10.4,3.7,0.925,9.7
2013-05-26,13.2,4.8,0.9125,7.0
2013-05-27,12.9,2.7,0.6625,0.0
2013-05-28,12.7,3.8,0.8625,1.1
2013-05-29,12.7,4.5,0.8125,3.3
2013-05-30,14.4,3.7,0.5375,0.0
2013-05-31,16.0,4.4,0.325,0.0
2013-06-01,16.3,4.2,0.6125,0.0
2013-06-02,12.3,6.5,0.4125,0.0
2013-06-03,13.2,4.7,0.0375,0.0
2013-06-04,14.3,4.3,0.1375,0.0
2013-06-05,15.2,2.2,0.3125,0.0
2013-06-06,17.0,2.7,0.0,0.0
2013-06-07,15.4,2.1,0.0,0.0
2013-06-08,13.5,3.3,0.15,0.0
2013-06-09,12.6,2.8,0.475,0.0
2013-06-10,13.8,2.6,0.35,0.0
2013-06-11,13.5,3.4,0.475,0.0
2013-06-12,17.4,2.2,0.4625,7.3
2013-06-14,14.5,5.1,0.65,0.0
2013-06-15,14.5,3.2,0.4125,5.5
2013-06-16,13.6,4.6,0.6875,0.1
2013-06-17,14.7,2.4,0.3625,0.3
2013-06-18,17.6,3.3,0.25,0.0
2013-06-19,20.9,3.0,0.85,
2013-06-21,18.1,3.9,0.875,3.0
2013-06-22,17.5,4.0,0.8875,5.2
2013-06-23,15.9,3.6,0.85,1.8
2013-06-24,14.8,3.6,0.8875,1.6
2013-06-25,13.9,4.5,0.975,0.5
2013-06-26,12.5,6.6,0.9375,0.4
2013-06-27,11.6,3.7,0.9625,5.2
2013-06-28,11.8,3.7,0.95,9.8
2013-06-29,13.1,4.3,0.7125,1.5
2013-06-30,12.6,4.3,0.6875,1.3
2013-07-01,15.6,3.5,0.6875,0.3
2013-07-02,15.1,2.7,0.6,0.1
2013-07-03,18.0,2.3,0.8875,10.2
2013-07-04,17.2,2.2,0.9,0.0
2013-07-05,16.9,3.7,0.5125,0.0
2013-07-06,15.3,2.4,0.0,0.0
2013-07-07,17.2,2.1,0.0375,0.0
2013-07-08,18.4,2.4,0.0375,0.0
2013-07-09,18.6,2.8,0.0375,0.0
2013-07-10,16.8,4.7,0.4,0.0
2013-07-11,16.7,3.9,0.0125,0.0
2013-07-12,16.0,3.2,0.0375,0.0
2013-07-13,16.1,4.3,0.3375,0.0
2013-07-14,15.7,5.6,0.725,0.0
2013-07-15,15.9,4.1,0.4875,0.0
2013-07-16,17.8,3.5,0.45,0.0
2013-07-17,18.7,2.9,0.425,0.0
2013-07-18,18.9,3.5,0.1125,0.0
2013-07-19,18.9,5.6,0.5,0.0
2013-07-20,18.9,2.3,0.0,0.0
2013-07-21,20.6,1.9,0.0,0.0
2013-07-22,21.0,2.0,0.0,0.0
2013-07-23,20.5,3.4,0.0,0.0
2013-07-24,20.6,3.4,0.3125,2.1
2013-07-25,20.6,2.1,0.5375,0.1
2013-07-26,23.2,1.6,0.5,0.0
2013-07-27,22.3,2.7,0.425,24.4
2013-07-28,21.7,3.4,0.5,0.0
2013-07-29,19.6,2.4,0.4375,0.5
2013-07-30,18.8,3.8,0.775,19.9
2013-07-31,17.9,4.0,0.55,0.4
2013-08-01,20.6,2.2,0.625,0.0
2013-08-02,26.1,2.2,0.025,0.0
2013-08-03,22.0,3.3,0.225,2.3
2013-08-04,19.1,2.0,0.1875,0.0
2013-08-05,21.6,2.6,0.0875,0.0
2013-08-06,20.7,4.2,0.475,0.0
2013-08-07,17.3,3.5,0.5,13.4
2013-08-08,17.5,3.9,0.975,0.0
2013-08-09,17.3,2.5,0.4125,0.2
2013-08-10,17.6,3.3,0.9125,1.2
2013-08-11,15.4,3.2,0.6875,11.1
2013-08-12,14.6,3.2,0.725,2.9
2013-08-13,14.4,4.4,0.3375,5.2
2013-08-14,15.3,5.0,0.25,0.0
2013-08-15,16.4,2.4,0.475,0.1
2013-08-16,19.6,3.2,0.775,8.2
2013-08-17,18.7,2.2,0.825,0.2
2013-08-18,18.1,3.1,0.7875,1.0
2013-08-19,16.0,2.2,0.3125,0.0
2013-08-20,15.3,2.7,0.55,0.0
2013-08-21,16.7,2.0,0.525,0.0
2013-08-22,18.6,1.9,0.6,0.0
2013-08-23,18.8,3.5,0.1125,0.0
2013-08-24,18.1,5.1,0.0,0.0
2013-08-25,18.8,5.8,0.075,0.0
2013-08-26,17.9,5.7,0.025,0.0
2013-08-27,17.7,2.9,0.1125,0.0
2013-08-28,17.3,2.1,0.2375,0.0
2013-08-29,16.2,2.5,0.2375,0.0
2013-08-30,17.3,2.4,0.85,0.0
2013-08-31,16.4,4.2,0.725,1.6
2013-09-01,13.7,4.5,0.7375,8.3
2013-09-02,15.5,6.3,0.9625,4.8
2013-09-03,16.7,4.1,0.9125,0.0
2013-09-04,15.5,1.6,0.8,0.0
2013-09-05,18.8,2.6,0.2625,0.0
2013-09-06,21.0,3.3,0.0,0.0
2013-09-07,20.0,2.1,0.45,0.0
2013-09-08,17.3,3.1,0.575,0.8
2013-09-09,12.0,2.7,0.85,17.2
2013-09-10,11.9,2.1,0.5125,1.8
2013-09-11,12.6,2.1,0.8625,0.1
2013-09-12,13.9,1.4,0.8125,0.2
2013-09-13,15.0,1.6,0.875,0.0
2013-09-14,15.3,2.3,0.55,6.0
2013-09-15,13.7,3.7,0.8,6.7
2013-09-16,11.4,4.2,0.5375,1.9
2013-09-17,10.1,3.9,0.4625,3.7
2013-09-18,10.8,2.1,0.6875,0.0
2013-09-19,11.4,2.6,0.575,1.3
2013-09-20,11.7,1.8,0.95,0.0
2013-09-21,13.0,2.5,0.7625,0.0
2013-09-22,15.6,4.9,0.9,0.1
2013-09-23,15.9,6.0,0.9625,0.0
2013-09-24,13.9,3.6,0.75,0.0
2013-09-25,11.1,2.3,0.85,16.7
2013-09-26,10.3,3.8,0.4,1.0
2013-09-27,9.9,2.6,0.5,0.7
2013-09-28,9.3,2.6,0.05,0.0
2013-09-29,11.4,3.7,0.2125,0.0
2013-09-30,10.9,4.3,0.2375,0.0
2013-10-01,10.8,3.8,0.2,0.0
2013-10-02,10.1,3.3,0.05,0.0
2013-10-03,9.1,4.3,0.0,0.0
2013-10-04,9.6,4.0,0.325,1.3
2013-10-05,13.5,2.4,0.85,0.0
2013-10-06,12.3,2.0,0.625,0.0
2013-10-07,12.7,2.2,0.225,0.0
2013-10-08,13.1,1.9,0.9,0.0
2013-10-09,13.4,3.4,0.9625,0.8
2013-10-10,9.9,2.4,0.7875,0.4
2013-10-11,13.4,9.2,0.9625,0.0
2013-10-12,13.0,9.2,1.0,9.8
2013-10-13,10.0,2.0,0.55,0.0
2013-10-14,9.5,2.0,0.4125,0.1
2013-10-15,9.8,2.4,0.825,10.7
2013-10-16,11.5,3.3,0.9875,0.6
2013-10-17,11.2,4.8,0.975,7.0
2013-10-18,7.8,3.4,0.3375,0.0
2013-10-19,8.2,2.7,0.925,4.7
2013-10-20,13.9,2.8,0.8125,7.6
2013-10-21,13.5,3.0,0.95,0.2
2013-10-22,15.8,2.9,0.1875,0.1
2013-10-23,16.3,4.1,0.725,0.3
2013-10-24,11.6,3.9,0.5125,0.1
2013-10-25,10.7,2.7,0.625,0.9
2013-10-26,15.3,3.8,0.4875,0.3
2013-10-27,14.1,5.4,0.625,1.9
2013-10-28,13.0,7.6,0.925,13.5
2013-10-29,10.2,5.4,0.85,5.5
2013-10-30,8.9,4.0,0.6625,1.3
2013-10-31,9.1,4.8,0.575,5.8
2013-11-01,10.2,3.8,0.9875,2.3
2013-11-02,9.1,1.9,1.0,8.2
2013-11-03,9.7,5.3,0.8625,0.3
2013-11-04,6.5,3.7,0.7875,6.5
2013-11-05,7.7,3.6,0.625,2.2
2013-11-06,6.8,3.0,0.8,4.3
2013-11-07,8.2,2.6,0.675,0.5
2013-11-08,7.7,2.6,0.2375,2.6
2013-11-09,7.7,5.2,0.825,11.7
2013-11-10,5.7,4.0,0.625,0.2
2013-11-11,5.9,3.0,0.3875,0.0
2013-11-12,6.7,4.1,0.9625,1.7
2013-11-13,6.7,3.2,0.1375,0.0
2013-11-14,6.2,3.2,0.775,0.0
2013-11-15,6.2,2.3,0.9875,0.0
2013-11-16,8.1,4.6,0.975,0.0
2013-11-17,7.7,2.4,0.4875,0.0
2013-11-18,6.2,2.1,0.9375,0.1
2013-11-19,5.3,3.3,0.9,0.1
2013-11-20,2.0,2.0,0.4125,0.0
2013-11-21,1.4,2.5,0.4375,1.2
2013-11-22,5.4,4.7,0.9875,0.0
2013-11-23,4.6,2.8,0.6875,0.2
2013-11-24,3.4,4.5,0.325,0.0
2013-11-25,0.3,3.3,0.1,0.0
2013-11-26,0.8,2.4,0.275,0.8
2013-11-27,6.7,4.9,0.9625,0.6
2013-11-28,7.7,6.7,0.5375,0.0
2013-11-29,5.6,4.3,0.8625,10.6
2013-11-30,5.4,4.7,0.85,0.1
2013-12-01,6.8,6.2,0.575,0.1
2013-12-02,1.0,1.7,0.125,0.0
2013-12-03,1.5,2.8,1.0,0.0
2013-12-04,4.9,4.1,0.725,1.9
2013-12-05,4.1,8.7,0.8125,10.2
2013-12-06,1.7,11.5,0.575,2.1
2013-12-07,0.8,4.7,0.75,1.6
2013-12-08,5.5,5.2,0.975,12.0
2013-12-09,9.0,4.6,0.975,0.1
2013-12-10,7.1,3.2,0.9375,0.0
2013-12-11,4.4,3.0,1.0,0.0
2013-12-12,2.2,3.6,0.9625,0.4
2013-12-13,3.1,2.9,0.9125,3.6
2013-12-14,3.2,3.5,0.7375,0.4
2013-12-15,6.9,5.0,0.975,1.7
2013-12-16,8.8,5.1,0.8875,1.5
2013-12-17,5.6,2.6,0.8875,0.2
2013-12-18,5.6,2.7,0.8625,0.0
2013-12-19,6.4,3.9,0.6625,5.9
2013-12-20,4.6,4.1,0.7625,0.0
2013-12-21,6.3,5.8,0.975,3.3
2013-12-22,7.3,6.1,0.9,1.7
2013-12-23,6.1,5.2,0.5375,0.8
2013-12-24,11.0,7.5,0.95,7.5
2013-12-25,7.5,3.4,0.65,0.3
2013-12-26,3.1,1.4,0.625,2.1
2013-12-27,5.7,5.2,0.8125,5.0
2013-12-28,6.8,3.5,0.675,0.2
2013-12-29,5.3,3.9,0.9625,5.5
2013-12-30,4.5,5.0,0.65,0.1
2013-12-31,4.6,3.6,0.325,0.0
2014-01-01,3.6,3.5,0.5875,0.6
2014-01-02,5.9,4.0,0.925,1.0
2014-01-03,6.7,4.1,0.75,2.7
2014-01-04,6.4,4.2,0.4375,0.0
2014-01-05,5.0,3.2,0.5625,0.7
2014-01-06,6.7,4.8,0.775,10.4
2014-01-07,9.5,5.1,0.825,0.8
2014-01-08,8.5,5.3,0.85,2.4
2014-01-09,7.9,6.0,0.9375,9.9
2014-01-10,6.4,6.7,0.875,3.5
2014-01-11,5.4,5.1,0.8125,5.3
2014-01-12,4.2,5.2,0.3875,0.0
2014-01-13,3.3,3.2,0.85,1.7
2014-01-14,3.2,1.9,0.7,0.0
2014-01-15,3.1,2.7,0.9875,3.0
2014-01-16,2.8,3.9,1.0,10.0
2014-01-17,5.8,1.9,0.95,1.9
2014-01-18,5.6,3.0,0.85,0.2
2014-01-19,2.8,8.0,1.0,0.0
2014-01-20,0.3,6.2,1.0,0.2
2014-01-21,-0.5,3.3,0.975,1.8
2014-01-22,-2.6,5.5,1.0,0.0
2014-01-23,-3.1,5.2,1.0,0.0
2014-01-24,-5.0,5.6,0.4375,0.0
2014-01-25,-7.4,3.9,0.425,0.0
2014-01-26,-8.8,5.1,0.5125,1.1
2014-01-27,-2.1,3.7,0.8125,0.4
2014-01-28,-0.9,4.0,0.9875,0.0
2014-01-29,-4.7,5.6,0.9875,0.7
2014-01-30,-4.5,3.6,0.8625,0.7
2014-01-31,-3.6,3.5,0.9,0.0
2014-02-01,2.3,3.9,0.85,1.4
2014-02-02,4.1,3.0,0.0875,0.0
2014-02-03,1.7,2.6,0.3625,0.0
2014-02-04,2.5,2.3,0.65,0.0
2014-02-05,2.1,2.5,0.275,0.1
2014-02-06,6.2,4.1,0.8125,2.5
2014-02-07,6.4,5.3,0.9125,7.2
2014-02-08,5.6,4.6,0.85,1.1
2014-02-09,5.8,5.7,0.7875,8.0
2014-02-10,5.1,3.0,0.575,0.1
2014-02-11,4.0,3.4,0.8375,0.3
2014-02-12,5.0,4.3,0.6625,2.2
2014-02-13,5.8,4.3,0.8,4.4
2014-02-14,4.1,3.5,0.55,0.7
2014-02-15,9.0,6.2,0.75,4.3
2014-02-16,5.6,6.8,0.825,7.9
2014-02-17,4.5,3.3,0.15,0.0
2014-02-18,5.7,2.7,0.75,0.1
2014-02-19,5.7,2.8,0.9625,1.6
2014-02-20,7.6,3.8,0.925,4.7
